yuma,yamato,amugiri,hyuga,yuta
"よく分からないツイートをしてしまった Jan 25, 2020 ","その人の事をほんの1%も知らないのに決めつけたように批判的なコメントするのはシンプルにダサい 嫉妬だろうが何だろうが当事者を傷つけていい権利は誰にもない 「自分にとって不愉快な動画は見ない」ではダメなんでしょうか？ わざわざ批判的なコメントで人を傷つける必要性はあるんでしょうか？ Feb 02, 2021 ","@hime_com0 岩顔て May 22, 2021 ","あと少しでコムドット一周年です！ 1年間本当に短いようで長くてめちゃめちゃ内容の濃い年になりました！ 長い間応援してくれてる方も最近知ってくれた方も本当にありがとうございます！！ 2年目もぶちかますのでこれからも応援よろしくお願いします！！ https://t.co/kVLSGt1Lao Sep 30, 2019 ","@m_c_y_m19 ありがとう😊 頑張るぜい✌️🔥 Oct 01, 2019 "
"今年もたくさんお年玉を配った🧧 https://t.co/Q2eiWtLcwT Jan 25, 2020 ","チャンネル登録90万人✨🙏🔥 毎日死ぬほど忙しいしキツいけど、楽しいが圧勝してる 客観的に見て、どんな数字を達成しようが喜びはしても満足はしないコムドットのハングリーな感じがゾクゾクする 今週中に100万人の壁をぶち壊す https://t.co/cJduuC9nC5 Feb 01, 2021 ","ゆうたにちょっかい出そうか迷った https://t.co/kG1ImtpqWZ May 22, 2021 ","@Comyoutuber2 お願いします。 https://t.co/3U6U8A4egt Sep 30, 2019 ","@03_com_05 ありがとう💪✌️ Oct 01, 2019 "
"我愛羅になりたい。 #単位欲しい https://t.co/LlXEabJox1 Jan 24, 2020 ","@comamugiri0123 あむぎりのパジャマがパジャマ感強すぎる件について Feb 01, 2021 ","編集をやっていくぅぅ🕺 https://t.co/T9YZXCrj0S May 21, 2021 ","@iy_1912 @comyuta0305 @Comyoutuber2 間違えました！大先輩！ Sep 30, 2019 ","@reireitan19 頑張るぜ✌️✌️ Oct 01, 2019 "
"ワイはギャップに弱いんや… ギャップで言ったら鈴本さんは伝説だと思う。 ありがとう。 Jan 23, 2020 ","@comyuta0305 裏切りみたいな雰囲気出すな Jan 31, 2021 ","ダメだ…ゆうま強い https://t.co/UzMMWsE75I May 20, 2021 ","@iy_1912 @comyuta0305 @Comyoutuber2 僕が行きたいです池見特盛り先輩！ Sep 30, 2019 ","@_rnr619 ありがとう頑張るね😂🔥 Oct 01, 2019 "
"どうしてもです Jan 23, 2020 ","今日で2021年最初のコラボウィークが終わりました どのクリエイターに会っても優しくて、仕事のスイッチを持っててシンプルに一緒に動画作りができて楽しかった この年になってこんなに友達増えると思わなかったし、絶対負けられないライバル増えてバイブス鬼上がった こっからギアもう一個あげるで Jan 31, 2021 ","RT @kiyo_saiore: ガッキーぃぃぃいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいい！！！！！！！！！！！！！！！！！！！… May 19, 2021 ","@Comyoutuber2 お願いです Sep 30, 2019 ","@com_avn_pao よっしゃああああ🔥 Oct 01, 2019 "
"どうしも名前を覚えて欲しかったキモオタの俺はわざとくしゃくしゃの紙で作った簡易的すぎるネームプレートを胸に下げ握手会に参加していた。。あの頃に与えてもらった勇気つぎは僕が繋ぐよ鈴本さん。 僕が勇気を与える番だ。 あなたは好きなように生きてください。今までありがとう。 #自意識過剰で草 https://t.co/Nzb2pY11yg Jan 23, 2020 ","@sg__soccer 塩酸でお願いします Jan 30, 2021 ","おおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお！！！ おめでとうございます！！🎉 https://t.co/Hiix5Zx8u4 May 19, 2021 ","YouTuberの車内。 やまと、ゆうた、ゆうま、あつき編集 ひゅうが運転 ほぼ全員が違う音を聞いて違うことをしてるコムドット 。 早く売れてふつうに旅行とか行きたいねぇ https://t.co/5VrO3t10Hp Sep 30, 2019 ","@FMayu0525 ありがとう🔥😂 Oct 01, 2019 "
"@chibashin0119 行きましょ Jan 20, 2020 ","@sg__soccer 僕たちも洗うので、わきを君は3時間洗って下さい Jan 30, 2021 ","@___20ym ぬへ！ May 17, 2021 ","池見くんのベンツの前で自分の車みたいな笑顔でピースしてて草 https://t.co/AuadMG4jxc Sep 29, 2019 ","@comYuria0907 ありがとうね✌️😂 Oct 01, 2019 "
"@chibashin0119 あひんあひん。 コラボ楽しみ！ Jan 20, 2020 ","@comamugiri0123 前半の文章固くて草 Jan 30, 2021 ","@4n8Tn8iKs06kbiE そす！ May 17, 2021 ","カルピスのCMに長澤まさみと出たい。 死ぬ程売れるぞ！ https://t.co/BQ8V16LLbI Sep 28, 2019 ","@com__sw ありがとう✌️ Oct 01, 2019 "
"齋藤飛鳥さんでした。 懺悔します。本当にすいません。。 Jan 20, 2020 ","今日の夜の動画で2人のことを話します 見ていただけるとありがたいです🙏🙏 https://t.co/g86kIPwQiE Jan 30, 2021 ","@com1001515 初リプの圧勝！！！ May 17, 2021 ","ゆうたは眠たいと隣の人によっかかるからみんな電車で見つけて隣座ろう https://t.co/MpS8mqwu1B Sep 28, 2019 ","@st_com_8 待ってるよ😂 Oct 01, 2019 "
"@comharuna0411 あ、なんたる失態…本当に失礼なことをしてしまった。切腹する。 Jan 20, 2020 ","RT @DJ_Shacho_jp: 今週末に開催される 『フォロワー100万人いくまで生きたゴキブリ食べ続ける生配信』の 鬼豪華なタイムテーブル出来ました。 1月30日(土)12時〜 DJ社長のインスタにて #DJ社長ゴキブリチャレンジ https://t.co/1Fdb… Jan 27, 2021 ","@Atsu_com_0123 んなにぃ！！？ May 17, 2021 ","美容室三人で楽しく行ってきました。 コムドットポーズなんかいいのないかなぁ https://t.co/UY81yEysKG Sep 27, 2019 ","コムドット 結成して1周年です ここまでみんな応援ありがとうね🙇 そして2年目変わらず暖かい応援よろしくね🙇😂 最初よりも貪欲に頑張ろう🔥 https://t.co/j1GUdJpB84 Oct 01, 2019 "
"そういえば昨日 信号が変わらなさすぎて眉間にシワ寄せてたら普通にボタン式の信号で赤面した。 Jan 20, 2020 ","@sg__soccer @UGGJapan 結構カッコつけてますね😅😅 Jan 26, 2021 ","@7yQlr2eFxquYXfP 一人一人が支えになっております🙇‍♂️ May 17, 2021 ","重たい一重マン https://t.co/xU9l5u86N8 Sep 26, 2019 ","@iy_1912 @comhyuga1117 @Comyoutuber2 池見くんとのディズニーはみんなに秘密にした方がいいのかと思ってました。 Sep 30, 2019 "
"受験か 受験といえば試験当日 斎藤飛鳥さんの 『失敗してもしなくても対してお前の人生変わんねーよ』 って動画を見て興奮状態のまま試験受けたら普通に落ちた。 そんな僕へ 2020年、 君はなんとか道を見つけてるよ。 だから大丈夫落ちても受かってもどっちでもいいぜ！ 気楽に行くんや！青学… Jan 19, 2020 ","退かぬ！恐れぬ！省みぬ！ Jan 26, 2021 ","@7h5xMZQbgbmlPuM あるよー！ May 17, 2021 ","@comamugiri0123 潰されてえのかその嘘何回も Sep 25, 2019 ","@comhyuga1117 @Comyoutuber2 当てて一緒に行こうな Sep 30, 2019 "
"@wara_nenee__ @comyamato0515 @comyuta0305 @comhyuga1117 @comamugiri0123 @Comyoutuber2 頑張ってね〜おおおおおお Jan 19, 2020 ","俺の発言について来れない人がいるという噂を聞いて日本の未来が心配です そろそろ義務教育の教科に「やまとのツイート」を加えるべきでは？ Jan 24, 2021 ","@Rina_aaa24_110 悩んで半年以上経ってます笑 May 17, 2021 ","裏のあむぎり https://t.co/kG1Kx4PjBI Sep 24, 2019 ","オフ会まであと1週間 楽しみだららららら Sep 29, 2019 "
"@ooootani7020 ガチでオモロイあれは Jan 14, 2020 ","最近YouTubeの投稿時間遅れてて、みんなに心配させてしまってごめんなさい😔 相変わらずオフなしで鬼の撮影編集の毎日だけど、目標に向かって確実に手応えを感じながらYouTubeできています 今月のラストは皆んなにも楽しんでもらえるようなコラボウィークを組んでいるのでお楽しみに🤔 Jan 23, 2021 ","@comhinano0818 ふぇっ⁉︎ May 17, 2021 ","冷房が寒いのに小心者で何も言えずにゆうまのとった行動 https://t.co/CqaLff9TOK Sep 23, 2019 ","コムドット【YouTuber】 さんの動画をチェックして！ #TikTok > https://t.co/Yg4bzAS6ax Sep 29, 2019 "
"@frYQJM9UidMs6nN U-NEXTで課金したお Jan 13, 2020 ","この勢いで全てを飲み込む YouTubeに全集中 https://t.co/7w4HUkejzr Jan 18, 2021 ","@9797nan ひゃ、120⁉︎ May 17, 2021 ","まえっさんひゅうが #カメラマンの大切さ #まえっさんの画角の素晴らしさをYouTuberになって尊敬 https://t.co/IPDKzHG98H Sep 21, 2019 ","コムドット【YouTuber】 さんの動画をチェックして！ #TikTok > https://t.co/ZlrsP6FmmZ Sep 26, 2019 "
"@kisi0405 見る！ Jan 13, 2020 ","@BOZ_THE_MC BOZさんお祝いありがとうございます😊 Jan 18, 2021 ","@YUKICHI54253463 了解です！！！😆 May 17, 2021 ","@mskp1446 絶対生茶だろ Sep 20, 2019 ","@comhyuga1117 はみ毛してんじゃねえかよ Sep 26, 2019 "
"青ブタ動画で出してみた。 知らない人はただのエロアニメだと思うだろう。 このアニメは感動とインキャ男子のロマンが詰まってるのでおすすめ。 映画でワイ最後泣いた。 オフ会で語りたいのでみてくることをお勧めします あとここのコメント欄にこのアニメいいよってやつがあったらぜひ教えてね！ https://t.co/JaON569jar Jan 13, 2020 ","ずっと夢見た急上昇1位 「地元のノリを全国へ」というスローガンで活動してきて、子供の頃やってた遊びで急上昇1位獲ったことが本当に感慨深い 絶対にこの勢いを逃がさない 絶対に日本を獲る #コムドット急上昇1位 https://t.co/ltUbDrDi3L Jan 18, 2021 ","@alnakn_8466 ありがとうございます😭 May 17, 2021 ","家のカレーって美味しい。 #おふくろの味 #トトロシュークリーム https://t.co/XPc7aTHvYQ Sep 20, 2019 ","@yG_Jbhj @comamugiri0123 ゆうま、、、、😂 Sep 24, 2019 "
"新成人の方々おめでとうございます！ https://t.co/L0AslUKFsf Jan 12, 2020 ","@comyuma1214 スキマスイッチの歌詞みたい Jan 16, 2021 ","@sp_vrq 死ぬう… May 17, 2021 ","コンフロスティーで甘くなった牛乳ってうまない？ https://t.co/0181su4JpK Sep 19, 2019 ","@comamugiri0123 だまってwi-fi変えやがれ最近イケメンあむぎりが Sep 24, 2019 "
"RT @comyuta0305: 夜の人笑いさんとインスタライブコラボできるまででかくなりましたコムドット ゆうたです。 https://t.co/fTzDb2AHQJ Jan 11, 2020 ","@comyuma1214 俺のことなんだと思ってんの Jan 15, 2021 ","190万人を無事突破することができました😭 あと10万人頑張るぞ💪 (今年も湿気で髪が死ぬ季節が来たか…) https://t.co/L9BdyFZIhI May 17, 2021 ","最近は外でキャンプなんかしてハンモックで寝たりしたいなーとか思ってしまうほど気温気持ちい。 https://t.co/zyGbQM03yu Sep 19, 2019 ","誰が一重重すぎるだよ https://t.co/UXza5NHa1I Sep 24, 2019 "
"@wa__kame__ 確かに…詩人である… Jan 08, 2020 ","オープニングでカレーの話から大人のお店の話に脱線して大盛り上がりしたのち、大食い企画なのに全然食べないのを正義とし、最終的にナンでダジャレ言って終わった動画が急上昇に載りました 2年間地元ノリを死ぬほどやり続けた結果が形で見えて心から嬉しい Jan 15, 2021 ","社長！誕生日おめでとう🎂 (ツーショット全然撮ってなかった) (この写真でツイートした記憶ある) https://t.co/dWOIfiyRkZ May 15, 2021 ","あむぎりだけ背低ない？ けど1番おっさんなのどうしたらいい。 https://t.co/5QgsI6A3rE Sep 19, 2019 ","いや〜今日暑かったな〜 けど充実したから飛んじゃお🥳 https://t.co/JMDYxJwSgO Sep 23, 2019 "
"なんかナイターみたいなライトでいい感じです。 #ナイターで滑った経験一切ない https://t.co/6zSxUHXQlu Jan 08, 2020 ","新成人の皆さんへ これから挑戦する度に頭ごなしに否定してくる奴が必ず現れます コムドットも「お前らには無理」って沢山言われて無視し続けて今があります 肝心なのは挑戦するのは自分だという事 他人の雑音に耳を貸す必要はない キツくなったらコムドットの動画見て下さい😉😉 https://t.co/7jSG7U7jqa Jan 12, 2021 ","@_4starhdk おめでとうございます㊗️ May 15, 2021 ","オニオンサーモンってすっごい美味しいよね。 なんで玉ねぎがサーモンと合うんだろう🧐 https://t.co/t5agxwh3s3 Sep 18, 2019 ","@Z7ynYfaKPfdKatk 間違いない！ Sep 22, 2019 "
"RT @Comyoutuber2: 【笑ったら即坊主の旅　冬の陣】〜勇者たちが最期に見たもの〜 https://t.co/1ulyP65hfa 本日の動画です🔥 ついに最終夜。 クライマックス見届けてください。 https://t.co/GhlvwcdodV Jan 07, 2020 ","2年前の成人式で学校代表としてスピーチをしました 当時チャンネル登録3000人だったけど 「絶対売れる」って心の底から啖呵を切りました 2年経ってチャンネル登録68万人もいる立派なチャンネルになりました 新成人の皆さん 人生を賭けて何かに挑戦して下さい 僕たちは少し先を走って背中を見せます https://t.co/7CX2Zco8GI Jan 11, 2021 ","@com_yukina_yuta 届いてますよー！ May 15, 2021 ","@comamugiri0123 なんだその嘘 Sep 18, 2019 ","@acciden_iy まじか！！ 止むのを待とう🍜 Sep 22, 2019 "
"RT @Comyoutuber2: 【笑ったら即坊主の旅　冬の陣】〜続々と生まれる犠牲者〜 https://t.co/UcKvU4HhW0 本日の動画です🔥 最終章。 さらなる坊主が生まれました 坊主製造グループです。 https://t.co/LFeoK8sWCE Jan 07, 2020 ","どっち派？👀👀 https://t.co/2rPzgxGp1Z Jan 10, 2021 ","@tea_mugi_cha 毎日見て下さりありがとうございます😭 May 15, 2021 ","TikTok始めました！ 要望に応えておもろいさ飯テロさを加えて上げていきたいと試みてるのでフォロー頼んます！！！！！ メンバー1同お願いしてるみたいです！ https://t.co/mSWg46LDiY Sep 18, 2019 ","@st_com_8 大荷物すぎる、、 Sep 22, 2019 "
